Package,Version,Type,Platform,License,Source,Comments,LicenseEncoding
alertmanager,0.15.1,System,Go,Apache,https://www.github.com/prometheus/alertmanager,Monitoring for Zenko,
bison,?,System,?,,?,,
build-essential,?,System,?,,?,Tooling for Zenko,
busybox,?,System,,GPL2,https://git.busybox.net/busybox/,Monitoring for Zenko,
configmap-reload,0.2.2,System,Go,Apache,https://github.com/jimmidyson/configmap-reload,Monitoring for Zenko,
curl,7.59.0,System,C,MIT,https://github.com/curl/curl,Tooling for Zenko's Cloudserver,
dockerize,v0.6.1,System,Go,MIT,https://github.com/jwilder/dockerize,Install tooling for Zenko's Backbeat container image,
doxygen,?,System,?,,?,,
flex,?,System,?,,?,,
git,?,System,C,LGPL2.1,https://github.com/git/git,Tooling for Zenko,
grafana,5.1.3,System,TypeScript,Apache,https://github.com/grafana/grafana,Zenko monitoring,
hiredis,?,Embedded,C,BSD-3,https://github.com/redis/hiredis,,
jmx-prometheus-exporter,0.3.0,System,Java,Apache,https://www.github.com/sscaling/docker-jmx-prometheus-exporter,Metrics exporter for Zookeeper to Prometheus,
jq,?,System,C,CC3,https://github.com/stedolan/jq,Tooling for Zenko,
kafka,1.0.0,System,Java,Apache,https://github.com/apache/kafka,Zenko replication queue,
kafka,2.2.1,System,Scala,Apache,https://github.com/apache/kafka,Tooling for Zenko's kafka,
kafka-exporter,1.2.0,System,Go,Apache,https://github.com/danielqsj/kafka_exporter,Metrics exporter for Kafka to Prometheus,
kafka-prometheus-jmx-exporter,96d8a72e2bc71575b2fed576a9e8b194ffa9777d,System,Java,Apache,https://github.com/prometheus/jmx_exporter,Metrics exporter for Kafka to Prometheus,
kubectl,1.6.4,System,,,https://www.github.com/lwolf/kubectl-deployer-docker,Init container for external access to Zenko replication queue,
kube-state-metrics,1.3.1,System,Go,Apache,https://github.com/kubernetes/kube-state-metrics,Monitoring for Zenko,
libblkid,?,Embedded,C,LGPL2.1,https://github.com/karelzak/util-linux/tree/master/libblkid,,
libcap,?,Embedded,C,GPL2,https://github.com/mhiramat/libcap,,
libcurl4-gnutls,?,Embedded,?,,?,,
libev,?,Embedded,C,BSD-2,http://cvs.schmorp.de/libev,,
libjansson,?,Embedded,C,MIT,https://github.com/akheron/jansson,,
libkrb5,?,Embedded,C,MIT,https://github.com/krb5/krb5,,
libnfsidmap,?,Embedded,C,BSD-3,git://git.linux-nfs.org/projects/steved/libnfsidmap.git,,
libtirpc1,?,Embedded,C,BSD,?,,
libwbclient,?,Embedded,C,GPL3,https://github.com/samba-team/samba/tree/master/nsswitch/libwbclient,,
MongoDB,3.4,System,C++,AGPL3,https://github.com/mongodb/mongo,Replicated MongoDB for Zenko,
mongodb-exporter,0.6.1,System,?,Apache,https://github.com/percona/mongodb_exporter,Metrics exporter for MongoDB,
mongodb-install,0.6,System,?,,?,Kubernetes tooling for setting up the MongoDB replication,
netcat-openbsd,?,System,C,BSD-3,https://github.com/openbsd/src/blob/master/usr.bin/nc/netcat.c,Tooling for Zenko's kafka,
nginx,,System,C,,https://github.com/nginx/nginx,Kubernetes ingress,
node-exporter,0.16.0,System,Go,Apache,https://github.com/prometheus/node_exporter,Monitoring for Zenko,
openjdk,11?,System,Java,GPL3,https://hg.openjdk.java.net/,Runtime library for Zenko's kafka tooling,
prometheus,2.3.2,System,Go,Apache,https://github.com/prometheus/prometheus,Monitoring for Zenko,
pushgateway,0.5.2,System,Go,Apache,https://github.com/prometheus/pushgateway,Monitoring for Zenko,
python,?,System,C,PSF2,https://github.com/python/cpython,Tooling for Zenko,
redis,4.0.11,System,C,BSD-3,https://github.com/antirez/redis,Zenko Service,
redis-server,?,Embedded,?,BSD-3,?,,
rpcbind,?,Embedded,C,BSD,?,,
uuid,?,Embedded,C,MIT,https://github.com/ramsey/uuid,,
vim,?,System,C,VIM,https://github.com/vim/vim,Tooling for Zenko,
wget,?,System,C,GPL2,http://git.savannah.gnu.org/cgit/wget.git,Install tooling for Zenko's Backbeat,
zookeeper-exporter,1.1.2,System,Go,MIT,https://github.com/josdotso/zookeeper_exporter/tree/v1.1.2,Metrics exporter for Zookeeper to Prometheus,
zookeeper,?,System,C,Apache,https://github.com/apache/zookeeper,Zenko Replication Queue Quorum,
